source,target,value
0,4,6.642402542
0,5,1.44463
0,6,1.805632433
0,7,1.136476744
1,4,0.695381829
1,5,8.524877578
1,6,0.4118106
1,7,4.0215
2,4,6.173630243
2,5,4
2,6,16.90602298
2,7,12.51153558
3,4,6.09239691
3,5,1.43056214
3,6,8.686028217
3,7,19.51711221
4,8,14.91133112
4,9,0.09147089
4,10,3.825852096
4,11,1.22040557
5,8,3.089554223
5,9,7.206723198
5,10,1.464344588
5,11,5.514119776
6,8,10.28723527
6,9,0.104721911
6,10,13.82954817
6,11,3.525740419
7,8,14.21424392
7,9,1.9043776
7,10,10.10194903
7,11,8.708382226
